address,roll_number,year_of_sale,month_of_sale,sale_price,longitude,latitude
960 CRESCENT DR,3080068000,2018,3,"$162,000",-97.1489038,49.8325057
800 WICKLOW ST,3081620000,2018,3,"$375,000",-97.1456798,49.8437554
30 MICHIGAN AVE,3040632000,2018,3,"$442,000",-97.1408584,49.7908694
27 VALENCE AVE,3041728000,2018,3,"$324,000",-97.1457941,49.7824435
795 LEMAY AVE,3030552000,2018,3,"$240,000",-97.1534958,49.7652052
123 BRENTCLIFFE DR,10000418400,2018,3,"$695,000",-97.1908282,49.8360541
27 FORESTGATE AVE,10000678400,2018,3,"$470,000",-97.1986228,49.8343234
62 FOXMEADOW DR,10006286400,2018,3,"$415,000",-97.1814305,49.8310629
196 LINDENWOOD DR E,10006301600,2018,3,"$562,000",-97.1845699,49.8305859
19 PRINCEMERE RD,10000145300,2018,3,"$510,000",-97.1861491,49.8413252
87 FIRBRIDGE CRES,3066856100,2018,3,"$375,000",-97.1604107,49.791748
69 MILLSTREAM WAY,3068186400,2018,3,"$400,000",-97.1715143,49.7777771
35 SOUTHBOROUGH KEY,3060087500,2018,3,"$350,250",-97.1628563,49.7786687
60 BESSBORO ST N,3091271200,2018,3,"$400,000",-97.2050231,49.8160692
96 MARYGROVE CRES,3066596100,2018,3,"$356,000",-97.1995892,49.8176653
161 SHILLINGSTONE RD,3065268200,2018,3,"$427,000",-97.199166,49.808634
43 TORRINGTON RD,3065629800,2018,3,"$374,900",-97.1974532,49.813682
30 OCEAN RIDGE DR,3091154000,2018,3,"$570,000",-97.1898428,49.8202247
6 POWDER RIDGE DR,3091253400,2018,3,"$535,000",-97.186373,49.82447
18 LA PORTE DR,3015311200,2018,3,"$247,300",-97.166497,49.767453
116 LE MAIRE ST,3035461000,2018,3,"$192,500",-97.1635484,49.7644193
15 ABBEYDALE CRES,3091393500,2018,3,"$403,000",-97.1786033,49.8107825
7 ERIN WOODS RD,3091564100,2018,3,"$526,000",-97.1891357,49.8023928
19 ERIN WOODS RD,3091563800,2018,3,"$472,000",-97.1892651,49.8027473
3 KENTLAND RD,3091370400,2018,3,"$438,000",-97.1839082,49.8076389
6 NIGHTHAWK BAY,3092978840,2018,3,"$390,000",-97.1812869,49.7768228
75 SOUTHVIEW CRES,3091599300,2018,3,"$475,000",-97.1868501,49.7831856
28 BANKFIELD CRES,3092988140,2018,3,"$395,000",-97.2041839,49.7907443
244 DEL MONICA RD,3092991050,2018,3,"$400,000",-97.195415,49.7847171
67 BLUEMEADOW RD,3091676800,2018,3,"$535,000",-97.2064377,49.8015989
177 PARK WEST DR,3092992945,2018,3,"$333,300",-97.1996433,49.7961157
328 PARK WEST DR,3092994445,2018,3,"$437,535",-97.1998323,49.7935363
14 DUNDURN PL,12090050000,2018,3,"$340,000",-97.1619109,49.8810405
