address,roll_number,year_of_sale,month_of_sale,sale_price,longitude,latitude
174 SEMPLE AVE,11000817000,2017,8,"$215,000",-97.1148454,49.9375032
135 SEVEN OAKS AVE,11000295000,2017,8,"$299,500",-97.1148778,49.9319572
4 CHERRYHILL RD,11040163000,2017,8,"$236,000",-97.1456727,49.9381896
75 CORALBERRY AVE,11041200000,2017,8,"$342,000",-97.1502605,49.9455946
28 DAHLIA AVE,11040042000,2017,8,"$300,000",-97.1490485,49.9372969
31 DAHLIA AVE,11040198000,2017,8,"$285,000",-97.1491391,49.9378542
812 JEFFERSON AVE,11040600000,2017,8,"$257,500",-97.1500202,49.9432747
70 LAUREL BAY,11050116500,2017,8,"$340,000",-97.1347556,49.9460283
22 MERRIWOOD AVE,11041938000,2017,8,"$280,000",-97.1429906,49.9431855
10 PRIMROSE CRES,11040145000,2017,8,"$280,000",-97.1441743,49.9376694
5 SALVIA BAY,11040114000,2017,8,"$250,000",-97.1436575,49.9391191
1066 SINCLAIR ST,11050406000,2017,8,"$311,000",-97.136798,49.9486724
91 BLECHNER DR,5005192400,2017,8,"$268,000",-97.1661414,49.9509327
37 KENVILLE CRES,5005327200,2017,8,"$335,000",-97.1768776,49.956298
19 KOWALL BAY,5005546300,2017,8,"$319,000",-97.1797193,49.9529094
2 KUSHNER CRES,5004549200,2017,8,"$304,000",-97.1620047,49.9525843
1426 LEILA AVE,5004593400,2017,8,"$230,000",-97.168107,49.959662
1596 LEILA AVE,5004575100,2017,8,"$282,000",-97.1750922,49.9619623
64 MABERLEY RD,5004086500,2017,8,"$265,000",-97.1646507,49.9460732
31 MANORVIEW CLOSE,5004108400,2017,8,"$285,000",-97.1624125,49.9445613
23 MANREN CRES,5004511300,2017,8,"$311,000",-97.1632201,49.9506708
97 MASSENA CRES,5005215600,2017,8,"$375,000",-97.1726687,49.9519777
66 PINEY CRES,5005305700,2017,8,"$300,000",-97.1830363,49.9566863
82 PINEY CRES,5005304900,2017,8,"$275,000",-97.1829911,49.9572931
53 PLAYGREEN CRES,5005356400,2017,8,"$260,000",-97.1819597,49.9577487
59 ROLMOUNT RD,5004239900,2017,8,"$278,000",-97.1823992,49.9494819
839 SHEPPARD ST,5005234400,2017,8,"$195,000",-97.170751,49.950157
423 ARMSTRONG AVE,11032135000,2017,8,"$330,000",-97.1230432,49.9473939
397 LEILA AVE,11032204000,2017,8,"$290,000",-97.1230049,49.9456653
212 MARGARET AVE,11031171000,2017,8,"$157,100",-97.1116841,49.9471365
1154 SALTER ST,11032117000,2017,8,"$285,000",-97.1199849,49.946777
23 FINDLAY PL,14098099000,2017,8,"$290,000",-97.1958381,49.9500859
98 FOREST COVE DR,14098173000,2017,8,"$315,000",-97.2053677,49.9463429
62 HIGHWATER PATH,14100125215,2017,8,"$300,000",-97.1968513,49.957994
323 INKSTER GARDEN DR,14098120400,2017,8,"$360,000",-97.2060149,49.953693
117 MARIANNE RD,14099586400,2017,8,"$371,001",-97.2036935,49.9542009
103 PETRIW BAY,14098071000,2017,8,"$263,000",-97.1964653,49.9471079
55 QUILL BAY,14098180000,2017,8,"$292,000",-97.2053401,49.9478946
52 WATERFORD GREEN CMN,14100125785,2017,8,"$280,910.80",-97.1956245,49.9564225
56 WATERFORD GREEN CMN,14100125790,2017,8,"$295,445.70",-97.1956245,49.9564225
6 WILDBROOK BAY,14100125490,2017,8,"$406,976.70",-97.2009525,49.9563745
61 WILDBROOK BAY,14100125410,2017,8,"$527,502.40",-97.2025308,49.9564621
69 WILDBROOK BAY,14100125405,2017,8,"$479,651.10",-97.2027601,49.9565853
1022 BEAUTY AVE,5005244700,2017,8,"$180,000",-97.1562256,49.9473255
1054 BEAUTY AVE,5005243500,2017,8,"$195,000",-97.1572025,49.947472
10 STARDUST CRES,5009042600,2017,8,"$380,000",-97.1602073,49.9499514
39 LEAHCREST CRES,5007031500,2017,8,"$302,000",-97.1902291,49.9558
3 MALANCHUK PL,5007366000,2017,8,"$364,900",-97.1898987,49.9662501
91 OLFORD CRES,5007243100,2017,8,"$300,000",-97.1838321,49.9633533
83 RITCHIE ST,5007318000,2017,8,"$256,000",-97.189079,49.962547
38 STREILEIN CRES,5007072600,2017,8,"$339,000",-97.1869612,49.9564898
199 MCBETH GROVE,5009327400,2017,8,"$650,000",-97.0844865,49.9534096
28 MEADOWCREST BAY,5009329800,2017,8,"$422,400",-97.0917392,49.9571265
107 SUMMERVIEW LANE,5003861100,2017,8,"$630,000",-97.0818677,49.9574491
316 FERNBANK AVE,5002763900,2017,8,"$278,000",-97.092121,49.96275
360 FERNBANK AVE,5002761700,2017,8,"$313,000",-97.0933119,49.9634016
34 FERNGROVE WALK,5002919000,2017,8,"$310,000",-97.095796,49.9634809
44 GLENCAIRN RD,5003353600,2017,8,"$335,000",-97.0946828,49.9660053
212 GLENCAIRN RD,5003496200,2017,8,"$345,000",-97.0888897,49.9666422
99 HORROX BAY,5003375800,2017,8,"$376,000",-97.0892158,49.9643673
305 LE PERESS AVE,5002560100,2017,8,"$298,000",-97.0993961,49.9571402
118 PINETREE CRES,5002913000,2017,8,"$367,000",-97.0972508,49.9648815
224 RED RIVER BLVD W,5003322000,2017,8,"$295,000",-97.1030803,49.9612222
155 WISTERIA WAY,5009233400,2017,8,"$425,000",-97.1096954,49.9571118
162 WISTERIA WAY,5009237800,2017,8,"$379,900",-97.1090291,49.9569011
215 WISTERIA WAY,5009231900,2017,8,"$405,000",-97.1075075,49.9571657
968 BEECHER AVE,5001426900,2017,8,"$320,000",-97.1417305,49.9575148
30 CASCIA COVE,5009252800,2017,8,"$390,000",-97.128242,49.9558502
26 CELINA COVE,5000493300,2017,8,"$510,000",-97.1373985,49.9570171
23 FARLINGER BAY,11051124700,2017,8,"$265,000",-97.1395953,49.9548282
96 FARLINGER BAY,11051139800,2017,8,"$354,000",-97.1400255,49.9541575
166 GARDEN PARK DR,11051141200,2017,8,"$351,500",-97.1378199,49.9547364
63 ALBINA WAY,14097922500,2017,8,"$221,000",-97.203973,49.940112
63 BIRCHLYNN BAY,14095702400,2017,8,"$333,000",-97.223139,49.9411367
67 BURDICK PL,14095284600,2017,8,"$328,000",-97.2160152,49.9454208
2262 BURROWS AVE,14096207400,2017,8,"$286,000",-97.2116424,49.9384732
229 EGESZ ST,14095468400,2017,8,"$315,000",-97.2175754,49.9386485
300 EGESZ ST,14095303700,2017,8,"$290,000",-97.2192193,49.9402992
142 ELLINGTON ST,14097355000,2017,8,"$276,000",-97.203168,49.934261
180 GARDEN GROVE DR,14095161500,2017,8,"$315,000",-97.2151614,49.9411358
19 GREENHOVEN CRES,14095013600,2017,8,"$305,000",-97.2078767,49.9393101
131 GREENHOVEN CRES,14095022000,2017,8,"$246,000",-97.2083568,49.9424044
155 GREENHOVEN CRES,14095023800,2017,8,"$295,000",-97.2094128,49.9424191
35 HUBER ST,14097811400,2017,8,"$282,000",-97.2041374,49.9324712
46 KURT AVE,14096014100,2017,8,"$259,500",-97.209334,49.93691
6 PARASHIN BAY,14097931200,2017,8,"$260,000",-97.201347,49.939157
127 POPLYNN DR,14095312500,2017,8,"$334,000",-97.2244101,49.9394187
41 SANDERSON AVE,14096171500,2017,8,"$282,000",-97.2092316,49.938071
1991 SELKIRK AVE,14095836000,2017,8,"$205,000",-97.207987,49.931494
63 TALLMAN ST,14095207700,2017,8,"$319,000",-97.2202485,49.9419618
148 WALSALL ST,14096192100,2017,8,"$290,000",-97.2127326,49.9334502
178 WEITZEL ST,14096721900,2017,8,"$315,000",-97.1956936,49.9417615
215 WEITZEL ST,14096714600,2017,8,"$245,500",-97.1962424,49.940921
99 CASTLEBURY MEADOWS DR,14100124205,2017,8,"$459,523.80",-97.2103178,49.9602716
194 CASTLEBURY MEADOWS DR,14100124545,2017,8,"$375,339.20",-97.2143713,49.9599593
363 CASTLEBURY MEADOWS DR,14100126885,2017,8,"$296,085",-97.2164959,49.958477
367 CASTLEBURY MEADOWS DR,14100126890,2017,8,"$295,687.50",-97.2167483,49.958384
391 CASTLEBURY MEADOWS DR,14100126920,2017,8,"$318,500",-97.2167219,49.9579714
395 CASTLEBURY MEADOWS DR,14100126925,2017,8,"$290,600.70",-97.2167191,49.9578788
416 CASTLEBURY MEADOWS DR,14100127105,2017,8,"$295,710.60",-97.2162591,49.9575135
467 CASTLEBURY MEADOWS DR,14100127015,2017,8,"$309,732.50",-97.215693,49.9572688
471 CASTLEBURY MEADOWS DR,14100127020,2017,8,"$309,289.30",-97.2156322,49.9572671
515 CASTLEBURY MEADOWS DR,14100127555,2017,8,"$367,200",-97.2139901,49.9572693
579 CASTLEBURY MEADOWS DR,14100127635,2017,8,"$351,857",-97.2115209,49.9572576
642 CASTLEBURY MEADOWS DR,14100127325,2017,8,"$425,592.40",-97.2095102,49.9581208
668 CASTLEBURY MEADOWS DR,14100127355,2017,8,"$376,420.80",-97.2087417,49.9585716
669 CASTLEBURY MEADOWS DR,14100127470,2017,8,"$400,382.50",-97.2083839,49.9583483
680 CASTLEBURY MEADOWS DR,14100127370,2017,8,"$351,122",-97.2083884,49.9587757
689 CASTLEBURY MEADOWS DR,14100127495,2017,8,"$361,286.70",-97.2077522,49.9587555
693 CASTLEBURY MEADOWS DR,14100127500,2017,8,"$417,695",-97.2075793,49.958828
114 HAZELTON DR,14100127065,2017,8,"$279,900",-97.2151497,49.9580387
122 HAZELTON DR,14100127075,2017,8,"$279,900",-97.2153979,49.9578565
130 HAZELTON DR,14100127085,2017,8,"$303,655",-97.2153729,49.9577079
103 HILLBROOK DR,14100124725,2017,8,"$442,283.70",-97.2132737,49.9587963
22 BRIDGEWELL COVE,14100121350,2017,8,"$373,989.20",-97.1982927,49.963028
34 BRIDGEWELL COVE,14100121365,2017,8,"$471,535",-97.1980835,49.9627701
343 DR. JOSE RIZAL WAY,14100122550,2017,8,"$379,875",-97.1958547,49.9618629
129 LUZON BAY,14100121510,2017,8,"$373,000",-97.1979444,49.961141
273 AMBER TRAIL,5009353400,2017,8,"$406,500",-97.1634961,49.9636584
263 BITTERFIELD DR,5009424700,2017,8,"$371,823.80",-97.182001,49.9716587
34 ELBE RD,5009394500,2017,8,"$423,000",-97.173292,49.9687305
83 INNSBRUCK WAY,5009371700,2017,8,"$428,000",-97.1640523,49.9673154
235 BOWMAN AVE,2000174000,2017,8,"$165,000",-97.1108775,49.918089
469 BOWMAN AVE,2040157000,2017,8,"$122,500",-97.1016448,49.9150249
259 CHALMERS AVE,14082056000,2017,8,"$170,000",-97.1096317,49.9138102
177 GORDON AVE,14083577000,2017,8,"$155,444",-97.1146189,49.9120453
409 JAMISON AVE,2040311000,2017,8,"$135,000",-97.103344,49.9164093
302 JOHNSON AVE W,14082932000,2017,8,"$155,000",-97.108244,49.91202
165 MARTIN AVE W,14080305000,2017,8,"$165,000",-97.1126166,49.9163224
237 MARTIN AVE W,14080510000,2017,8,"$135,000",-97.1092939,49.9152391
300 MARTIN AVE W,14080536000,2017,8,"$215,000",-97.1074587,49.9143058
161 MIGHTON AVE,14091127000,2017,8,"$127,000",-97.1166351,49.9106842
418 MUNROE AVE,2040667000,2017,8,"$232,000",-97.1011488,49.9185959
207 OTTAWA AVE,2000701000,2017,8,"$210,000",-97.109918,49.9202704
377 OTTAWA AVE,2000776000,2017,8,"$249,900",-97.1036373,49.9181615
423 OTTAWA AVE,2040752000,2017,8,"$229,000",-97.1016264,49.9175205
503 RIVERTON AVE,14091232000,2017,8,"$281,000",-97.101935,49.907283
372 THAMES AVE,14090394000,2017,8,"$212,000",-97.1056143,49.9091892
390 THAMES AVE,14090403000,2017,8,"$142,000",-97.1047031,49.9089937
452 THAMES AVE,14090426000,2017,8,"$225,000",-97.1017929,49.9084985
313 WILLIAM NEWTON AVE,14092772100,2017,8,"$106,000",-97.111143,49.907013
527 CASTLE AVE,14091041000,2017,8,"$157,500",-97.0977416,49.9068967
600 CASTLE AVE,14090500000,2017,8,"$200,000",-97.0948747,49.9060266
741 CHALMERS AVE E,14082561000,2017,8,"$175,500",-97.0875471,49.9064757
851 MARTIN AVE E,14081359000,2017,8,"$195,000",-97.083953,49.9068266
914 BEACH AVE,14092080000,2017,8,"$225,000",-97.081497,49.903194
972 BEACH AVE,14092123000,2017,8,"$275,000",-97.078296,49.9026576
174 CLYDE RD,14081577000,2017,8,"$201,000",-97.0714542,49.9033762
530 KENT RD,14081518100,2017,8,"$245,000",-97.0763277,49.9049501
881 MCCALMAN AVE,14093313100,2017,8,"$131,000",-97.0874532,49.9026903
681 NAIRN AVE,14093414000,2017,8,"$227,000",-97.092238,49.9027351
769 TALBOT AVE,14092019000,2017,8,"$202,500",-97.0869363,49.903808
1036 TALBOT AVE,14092175000,2017,8,"$215,500",-97.074583,49.9011954
375 DONALDA AVE,2000916000,2017,8,"$285,000",-97.101696,49.920388
404 MELBOURNE AVE,2010195000,2017,8,"$257,800",-97.0973309,49.9223207
508 MELBOURNE AVE,2010279000,2017,8,"$214,900",-97.0925944,49.92073
428 SYDNEY AVE,2010256000,2017,8,"$210,000",-97.0968493,49.9213543
237 TRENT AVE,2000930000,2017,8,"$133,000",-97.1061978,49.9227019
82 COBOURG AVE,14081873000,2017,8,"$190,000",-97.118413,49.915749
92 COBOURG AVE,14081878000,2017,8,"$326,000",-97.1177716,49.9155628
334 GLENWOOD CRES,14080042000,2017,8,"$389,900",-97.118117,49.918876
70 HART AVE,14083556000,2017,8,"$162,000",-97.120079,49.9146
79 HART AVE,14082774000,2017,8,"$232,000",-97.1191558,49.9147635
164 HESPELER AVE,14083467100,2017,8,"$334,500",-97.1184242,49.9133235
52 NOBLE AVE,14082664000,2017,8,"$208,000",-97.1208248,49.9157773
58 NOBLE AVE,14082667000,2017,8,"$260,000",-97.1204301,49.9156004
187 BRONX PL,2010401000,2017,8,"$150,000",-97.105209,49.927427
104 DUNROBIN AVE,2011462000,2017,8,"$309,500",-97.1062077,49.9302464
156 DUNROBIN AVE,2011475000,2017,8,"$300,000",-97.1037587,49.929426
13 GLENCOE AVE,2030099000,2017,8,"$299,900",-97.1047542,49.9366038
95 GLENCOE AVE,2030016000,2017,8,"$356,000",-97.1016089,49.935831
150 IRVING PL,4000125500,2017,8,"$256,000",-97.092665,49.9425778
165 IRVING PL,4000111000,2017,8,"$260,000",-97.0908233,49.9426102
864 KILDONAN DR,2020937000,2017,8,"$437,000",-97.109354,49.934657
128 LARCHDALE CRES,2031323000,2017,8,"$337,000",-97.0981666,49.9369477
27 LINDEN AVE,2020926000,2017,8,"$315,000",-97.1072514,49.933432
50 LINDEN AVE,2020828000,2017,8,"$248,000",-97.1069833,49.9329655
178 ROBERTA AVE,2021411000,2017,8,"$283,500",-97.1007556,49.9325369
160 ROWANDALE CRES,2031261000,2017,8,"$375,000",-97.0977893,49.9385204
916 CONNERY AVE,2050785000,2017,8,"$263,000",-97.0786498,49.9078249
980 CONSOL AVE,2060589000,2017,8,"$224,900",-97.0714182,49.9128129
651 DALLENLEA AVE,2050380000,2017,8,"$269,000",-97.0890752,49.9121347
626 FLEMING AVE,2060027000,2017,8,"$225,000",-97.084832,49.9164982
14 GIRDWOOD CRES,2051164000,2017,8,"$195,000",-97.0680535,49.9083219
186 KISIL BAY,2050983000,2017,8,"$285,000",-97.069682,49.906038
713 MONCTON AVE,2051677000,2017,8,"$165,000",-97.082942,49.9137575
785 MONCTON AVE,2051815100,2017,8,"$265,000",-97.079573,49.9126763
1012 MUNROE AVE,2050857000,2017,8,"$258,000",-97.0727469,49.9092131
17 PIKE CRES,2051052000,2017,8,"$203,500",-97.0766249,49.9055353
703 PRINCE RUPERT AVE,2060106000,2017,8,"$285,000",-97.0821013,49.9151768
968 SIMPSON AVE,2060545000,2017,8,"$249,900",-97.0712243,49.9136293
164 BROAD BAY,4000786000,2017,8,"$308,000",-97.0712191,49.9376115
384 COLVIN AVE,2030387000,2017,8,"$255,000",-97.0900049,49.9326388
350 DEVON AVE,4000242000,2017,8,"$295,400",-97.0832494,49.9350114
15 HONEYWOOD ST,4001884100,2017,8,"$270,000",-97.0720367,49.9434377
375 KINGSFORD AVE,4000295600,2017,8,"$259,900",-97.0815581,49.9379854
6 MELMAR PL,4000472100,2017,8,"$330,000",-97.079354,49.940435
742 OAKLAND AVE,2032007000,2017,8,"$299,900",-97.0719321,49.9303241
49 PLEASANT BAY,2031550000,2017,8,"$400,000",-97.0909107,49.9350382
108 ROSELAWN BAY,4001878400,2017,8,"$310,000",-97.070884,49.9432264
231 SPRINGFIELD RD,4000974500,2017,8,"$283,000",-97.0851794,49.9433087
260 SPRINGFIELD RD,4000339500,2017,8,"$285,000",-97.0841707,49.9425156
305 DOUGLAS AVE,4001076400,2017,8,"$280,000",-97.0764513,49.9470723
319 GILMORE AVE,4002067600,2017,8,"$317,500",-97.073372,49.9479448
247 KNOWLES AVE,4001512100,2017,8,"$370,000",-97.064592,49.9583439
466 KNOWLES AVE,4001381000,2017,8,"$285,000",-97.0463893,49.9497518
11 MATTHEW BAY,4001919800,2017,8,"$393,000",-97.049978,49.9504329
78 MELLOWMEAD COVE,4002106900,2017,8,"$253,000",-97.061904,49.9432789
3 RANCH RD,4002305800,2017,8,"$375,000",-97.0666437,49.9502075
78 STONEHAM CRES,4001112200,2017,8,"$450,000",-97.0585363,49.9523527
16 UXBRIDGE RD S,4002327800,2017,8,"$500,000",-97.056436,49.946467
37 WILLART PL,4002444900,2017,8,"$242,000",-97.0733279,49.9522346
254 ALBERHILL CRES,4003056400,2017,8,"$360,000",-97.0457445,49.9330482
47 ALLAN ROUSE COVE,4003634800,2017,8,"$350,000",-97.0391432,49.9411768
74 CLEARVIEW DR,4003203400,2017,8,"$385,500",-97.048886,49.9411875
59 EAST SPRINGS COVE,4003609200,2017,8,"$432,000",-97.0455237,49.9425192
70 SAGE WOOD AVE,4006792600,2017,8,"$278,500",-97.0486251,49.9357703
105 SAGE WOOD AVE,4006765800,2017,8,"$224,000",-97.0471926,49.9354853
43 TAMARISK COVE,4007094300,2017,8,"$432,000",-97.0429138,49.9474002
82 TOMKINS BAY,4007018500,2017,8,"$429,900",-97.041391,49.93788
3 ASHLEY COVE,4005399000,2017,8,"$335,000",-97.0522716,49.9274195
172 KIRLYSTONE WAY,4002852600,2017,8,"$340,000",-97.055192,49.924779
46 RED OAK DR,4005328300,2017,8,"$229,900",-97.0579129,49.9286046
10 AVACO DR,4005081300,2017,8,"$250,500",-97.0644629,49.918508
50 AVACO DR,4005084300,2017,8,"$292,500",-97.064645,49.917223
161 AVACO DR,4005113900,2017,8,"$218,000",-97.060587,49.916658
43 DAMPSY CRES,4002499600,2017,8,"$280,000",-97.064303,49.920891
50 DAMPSY CRES,4002495500,2017,8,"$315,000",-97.0650531,49.9208323
94 DE JONG CRES,4002480300,2017,8,"$305,000",-97.0669652,49.9224993
87 DOWHAN CRES,2061444600,2017,8,"$364,000",-97.0771407,49.9200669
51 FLETT AVE,4005236700,2017,8,"$289,000",-97.0731137,49.9221237
846 LONDON ST,4005204900,2017,8,"$269,000",-97.0754827,49.9214155
944 LONDON ST,4002514500,2017,8,"$263,000",-97.070399,49.923971
42 MERRILL CRES,4005100500,2017,8,"$325,000",-97.0625212,49.9173391
1230C MOLSON ST,4005182900,2017,8,"$207,000",-97.0573694,49.9187633
19 NORILYN BAY,4005061000,2017,8,"$325,000",-97.0661456,49.9186467
94 RAVENHILL RD,4005149100,2017,8,"$210,000",-97.0591259,49.920197
11 RIZER CRES,2061170700,2017,8,"$292,500",-97.068914,49.915354
26 RUDOLPH BAY,2062747000,2017,8,"$235,000",-97.062115,49.915503
121 WERRELL CRES,4006431500,2017,8,"$345,000",-97.0586962,49.9241709
51 GOLDEN EAGLE DR,4007008800,2017,8,"$372,000",-97.0530369,49.9199292
267 HAZEL DELL AVE,2020630000,2017,8,"$267,000",-97.0987266,49.92977
468 HAZEL DELL AVE,2020367000,2017,8,"$247,900",-97.090601,49.9266867
429 HELMSDALE AVE,2011597000,2017,8,"$253,750",-97.093485,49.92544
381 KIMBERLY AVE,2011552000,2017,8,"$255,000",-97.0961273,49.9251709
473 KIMBERLY AVE,2011635000,2017,8,"$268,000",-97.0920857,49.9238595
630 LINDEN AVE,2021131000,2017,8,"$275,900",-97.0828078,49.9249106
573 OAKVIEW AVE,2020447500,2017,8,"$248,000",-97.0856415,49.9246566
222 ROBERTA AVE,2021446000,2017,8,"$280,000",-97.0983389,49.9317017
239 ROBERTA AVE,2021430000,2017,8,"$262,500",-97.0973101,49.931773
473 ROBERTA AVE,2021515000,2017,8,"$265,100",-97.0887691,49.9289317
318 MELROSE AVE E,9000121500,2017,8,"$215,000",-96.9967153,49.8941545
448 MELROSE AVE W,9000015000,2017,8,"$297,000",-97.0156055,49.8941353
732 REGENT AVE W,9005525000,2017,8,"$219,900",-97.024703,49.8949933
306 HARVARD AVE W,9000880000,2017,8,"$150,000",-97.0086538,49.8989106
903 MADELINE ST,9001045000,2017,8,"$219,900",-97.0124123,49.9001618
339 RAVELSTON AVE W,9000812500,2017,8,"$174,000",-97.0109056,49.8977312
449 REGENT AVE W,9000336500,2017,8,"$253,000",-97.0155813,49.8954391
310 ROSSEAU AVE W,9000823000,2017,8,"$186,400",-97.0089515,49.8980909
409 VICTORIA AVE W,9000594500,2017,8,"$240,000",-97.0128958,49.8961607
438 YALE AVE W,9000605000,2017,8,"$206,000",-97.0149245,49.896532
518 YALE AVE W,9005428000,2017,8,"$158,000",-97.0175461,49.896566
548 YALE AVE W,9005440500,2017,8,"$237,500",-97.0196385,49.8965597
431 RAVELSTON AVE E,9000750500,2017,8,"$166,500",-96.9944182,49.8977226
221 REGENT AVE E,9000420500,2017,8,"$170,000",-96.9988426,49.8953049
401 REGENT AVE E,9000446500,2017,8,"$231,000",-96.995486,49.8953035
506 ROSSEAU AVE E,9000742500,2017,8,"$179,000",-96.9927301,49.8981523
509 ROSSEAU AVE E,9000918800,2017,8,"$243,500",-96.9926044,49.8985186
319 VICTORIA AVE E,9000512500,2017,8,"$245,000",-96.9967444,49.8960937
320 VICTORIA AVE E,9000439000,2017,8,"$223,000",-96.9963961,49.8957218
558 VICTORIA AVE E,9000474000,2017,8,"$277,000",-96.9891771,49.8957129
120 WHITTIER AVE E,9000979500,2017,8,"$205,000",-97.0009561,49.8996256
119 HAROLD AVE W,9004404000,2017,8,"$188,000",-97.0042287,49.9017222
907 HOKA ST,9005659500,2017,8,"$245,000",-97.0166382,49.9002997
725 KILDARE AVE W,9005721000,2017,8,"$250,000",-97.0245194,49.9011085
204 MCMEANS AVE W,9004699000,2017,8,"$274,000",-97.0061542,49.9052384
113 THOM AVE W,9004859800,2017,8,"$205,000",-97.003684,49.907177
123 THOM AVE W,9004859400,2017,8,"$207,500",-97.004066,49.9071799
6 LAURENTIA BAY,9001541000,2017,8,"$289,900",-96.9832118,49.8956662
67 MINIKADA BAY,9001502500,2017,8,"$215,000",-96.9851638,49.8937992
33 WALDEN CRES,9001187500,2017,8,"$230,000",-96.9872985,49.897236
48 WALDEN CRES,9001231500,2017,8,"$315,000",-96.9879045,49.8976436
890 WAYOATA ST,9003045300,2017,8,"$185,000",-96.9891926,49.9075915
148 ALEX TAYLOR DR,9010150700,2017,8,"$250,000",-96.9655118,49.9062524
19 BLAIRMORE GDNS,9010142200,2017,8,"$265,000",-96.961934,49.903055
63 BLUMM CRES,9010406700,2017,8,"$418,800",-96.9701585,49.8962284
122 ED GOLDING BAY,9010417200,2017,8,"$398,500",-96.9701167,49.8936715
856B MCMEANS AVE E,9003750700,2017,8,"$171,000",-96.9691091,49.9040454
115 NORTHCLIFFE DR,9010080200,2017,8,"$292,000",-96.9709068,49.9078096
96 PETER SOSIAK BAY,9010288500,2017,8,"$393,000",-96.970625,49.897061
378 REDONDA ST,9003908000,2017,8,"$268,378",-96.9787342,49.9028209
402 REDONDA ST,9003906500,2017,8,"$280,000",-96.9787446,49.9036648
446 REDONDA ST,9003939300,2017,8,"$251,000",-96.9786867,49.905236
120 REMI CLAEYS CRES,9010367800,2017,8,"$345,500",-96.9620196,49.8954755
34 TUNBRIDGE BAY,9003931300,2017,8,"$304,068",-96.9776215,49.9045493
249C WYNFORD DR,9003743100,2017,8,"$205,000",-96.971293,49.9031588
70 BLOSTEIN BAY,9006171200,2017,8,"$295,000",-97.0231754,49.9118892
34 CAMBIE RD,9005923600,2017,8,"$285,000",-97.015638,49.906876
157 CAMBIE RD,9005911700,2017,8,"$308,000",-97.0161135,49.908979
1219 DEVONSHIRE DR W,4004940800,2017,8,"$320,000",-97.0336364,49.9086392
14 HORETZKY ST,9006098500,2017,8,"$315,000",-97.0215299,49.905777
58 KINSLEY CRES,9006169000,2017,8,"$350,000",-97.01595,49.9139709
98 LONG POINT BAY,9006123400,2017,8,"$337,500",-97.0217474,49.9154556
10 LOU PELTIER CRES,4007174000,2017,8,"$403,000",-97.028514,49.9124903
1851 PLESSIS RD,9006245000,2017,8,"$269,900",-97.024822,49.912307
124 SANFORD FLEMING RD,9006018000,2017,8,"$245,000",-97.0207239,49.9072211
43 SUNGLOW RD,4004423500,2017,8,"$332,500",-97.0273407,49.9050487
19 CEDARGROVE CRES,9007221700,2017,8,"$315,000",-97.0325213,49.8898447
106 CEDARGROVE CRES,9007363000,2017,8,"$240,000",-97.03301,49.888411
2 HICKORY WOOD PL,9007122400,2017,8,"$278,000",-97.03033,49.8902904
810 PANDORA AVE W,9006960200,2017,8,"$240,000",-97.0263797,49.8933946
58 RANCHGROVE BAY,9007224900,2017,8,"$301,500",-97.0333879,49.8907169
146 TRUDELL BAY,9007724400,2017,8,"$320,000",-97.0493691,49.8930777
26 VISIONARY COVE,9010340500,2017,8,"$410,000",-97.03555,49.8910432
74 CHELSTON GATE,4007255285,2017,8,"$326,550.30",-97.0439031,49.9022135
3 LARRY VICKAR DR E,4007254710,2017,8,"$392,947",-97.0431708,49.9023772
23 LARRY VICKAR DR E,4007254735,2017,8,"$396,517.70",-97.0424573,49.9021732
204 LARRY VICKAR DR W,4007256970,2017,8,"$309,100",-97.0486865,49.8999686
35 PHILIP LEE DR,4007254375,2017,8,"$282,850",-97.0547803,49.908267
173 PHILIP LEE DR,4007253360,2017,8,"$490,714.20",-97.051192,49.9107021
174 PHILIP LEE DR,4007253070,2017,8,"$343,898.40",-97.0513494,49.9109419
230 PHILIP LEE DR,4007253000,2017,8,"$398,232.70",-97.0489963,49.9113255
290 PHILIP LEE DR,4007252930,2017,8,"$336,343",-97.0480332,49.9100209
126 STAN SCHRIBER CRES,4007253870,2017,8,"$323,000",-97.0480263,49.9078374
1614 CONCORDIA AVE E,4006977800,2017,8,"$293,000",-97.039107,49.9185244
1619 CONCORDIA AVE E,4006944000,2017,8,"$290,000",-97.0394819,49.9190246
243 JACQUES AVE,4006115900,2017,8,"$360,000",-97.0455126,49.9235661
262 JACQUES AVE,4004562100,2017,8,"$352,500",-97.0445474,49.9231018
15 PINETOP RD,4007234400,2017,8,"$362,500",-97.043893,49.9147589
144 SKOWRON CRES,4006128200,2017,8,"$340,000",-97.0385409,49.9242318
854 PLESSIS RD,9009895000,2017,8,"$475,000",-97.0276101,49.8785057
1047 BLAIR ST,6031202000,2017,8,"$229,900",-97.0738096,49.8845027
140 SEASIDE DR,6093453100,2017,8,"$411,000",-97.0311967,49.8807788
34 SHADY SHORES DR E,6093425800,2017,8,"$379,000",-97.0319583,49.8846485
75 VILLAGE COVE,6093426400,2017,8,"$359,900",-97.0320519,49.8851365
233 BERKSHIRE BAY,6024074000,2017,7,"$234,900",-97.0882475,49.8732053
48 DRAKE BLVD,6025043000,2017,7,"$224,000",-97.0875748,49.8721208
15 HAMPSHIRE BAY,6025065500,2017,7,"$210,000",-97.0863962,49.8722935
61 AVALON RD,8004523300,2017,7,"$300,000",-97.1188634,49.8280913
